,template,docked,rmsd,uniprot_id
0,1KTS_C24,3QTO_10P,4.72,P00734
1,1KTS_C24,1C1V_BAB,5.428,P00734
2,1KTS_C24,3C1K_T15,8.291,P00734
3,1KTS_C24,1C1U_BAI,7.542000000000001,P00734
4,1KTS_C24,2H9T_SVR,18.124000000000002,P00734
5,1KTS_C24,1K22_MEL,1.5590000000000002,P00734
6,1KTS_C24,1ZRB_062,8.857000000000001,P00734
7,1KTS_C24,3QWC_98P,6.261,P00734
8,1KTS_C24,1MUE_CDD,7.902,P00734
9,1KTS_C24,1Z71_L17,10.895999999999999,P00734
10,1KTS_C24,4YES_45S,8.296,P00734
11,1KTS_C24,5AF9_SJR,9.21,P00734
12,1KTS_C24,1TA2_176,6.436,P00734
13,1KTS_C24,1WAY_L02,6.52,P00734
14,1KTS_C24,1KTT_C02,1.6769999999999998,P00734
15,1KTS_C24,1KTS_C24,2.211,P00734
16,1KTS_C24,2JH5_895,6.375,P00734
17,1KTS_C24,3DUX_64U,7.523,P00734
18,1KTS_C24,1W7G_MIU,7.071000000000001,P00734
19,1KTS_C24,3F68_91U,7.667000000000001,P00734
20,1KTS_C24,2JH0_701,5.608,P00734
21,1KTS_C24,2C8W_C7M,4.852,P00734
22,1KTS_C24,1YPG_UIR,5.732,P00734
23,1KTS_C24,1C5O_BAM,6.04,P00734
24,1KTS_C24,2ZF0_51U,7.678999999999999,P00734
25,1KTS_C24,1AE8_AZL,7.449,P00734
26,1KTS_C24,2C8Z_C2A,6.8839999999999995,P00734
27,1KTS_C24,1ZGI_382,2.6180000000000003,P00734
28,1KTS_C24,2C8X_C5M,9.324,P00734
29,1KTS_C24,1BCU_PRL,8.366,P00734
30,1KTS_C24,1C5N_ESI,9.155,P00734
31,1KTS_C24,1MU8_CDB,11.5,P00734
32,1KTS_C24,1BHX_R56,7.752999999999999,P00734
33,1KTS_C24,3SI3_B03,4.128,P00734
34,1KTS_C24,4UFG_D6J,5.699,P00734
35,1KTS_C24,1D4P_BPP,7.43,P00734
36,1KTS_C24,2ZDA_32U,7.959,P00734
37,1KTS_C24,3BIU_10U,2.7769999999999997,P00734
38,1KTS_C24,1C1W_BAH,5.355,P00734
39,1KTS_C24,1YPK_CCR,9.337,P00734
40,1KTS_C24,1D3P_BT3,11.212,P00734
41,1KTS_C24,3QX5_02P,7.107,P00734
42,1KTS_C24,1SL3_170,8.326,P00734
43,1KTS_C24,1AFE_ALZ,8.673,P00734
44,1KTS_C24,1ZGV_501,7.649,P00734
45,1KTS_C24,3SHC_B01,5.357,P00734
46,1KTS_C24,5AHG_Y4L,4.919,P00734
47,1KTS_C24,1YPE_UIP,3.6189999999999998,P00734
48,1KTS_C24,1NZQ_162,10.163,P00734
49,1KTS_C24,4UD9_FQI,4.064,P00734
50,1KTS_C24,2C93_C4M,4.995,P00734
51,1KTS_C24,1OYT_FSN,2.9819999999999998,P00734
52,1KTS_C24,2ZDV_37U,9.252,P00734
53,1KTS_C24,4UDW_N6L,6.756,P00734
54,1KTS_C24,1GHV_120,6.55,P00734
55,1KTS_C24,1GHW_BMZ,6.8420000000000005,P00734
56,1KTS_C24,1MU6_CDA,11.255,P00734
57,1KTS_C24,1RIW_OSC,9.756,P00734
58,1KTS_C24,1O0D_163,7.0089999999999995,P00734
59,1KTS_C24,5AFZ_UET,2.577,P00734
60,1KTS_C24,1WBG_L03,5.647,P00734
61,1KTS_C24,2CN0_F25,8.53,P00734
62,1KTS_C24,6ROT_KDQ,7.08,P00734
63,1KTS_C24,2C8Y_C3M,7.197,P00734
64,1KTS_C24,3P17_99P,4.922,P00734
65,1KTS_C24,5AFY_WCE,7.135,P00734
66,1KTS_C24,1O2G_696,6.19,P00734
67,1KTS_C24,1SB1_165,9.07,P00734
68,1KTS_C24,3EGK_M18,9.783999999999999,P00734
69,1KTS_C24,3SHA_P97,4.367,P00734
70,1KTS_C24,2C90_C1M,3.943,P00734
71,1KTS_C24,1D3D_BZT,11.347999999999999,P00734
72,1KTS_C24,2UUK_897,8.29,P00734
73,1KTS_C24,2UUJ_896,8.115,P00734
74,1KTS_C24,3SV2_P05,4.8069999999999995,P00734
75,1KTS_C24,2JH6_894,5.796,P00734
76,1KTS_C24,1NM6_L86,8.905,P00734
77,1KTS_C24,1AIX_T19,7.26,P00734
78,1KTS_C24,3DA9_44U,7.577999999999999,P00734
79,1KTS_C24,1A4W_QWE,13.099,P00734
80,1KTS_C24,3QTV_06P,5.295,P00734
81,3BIU_10U,3QTO_10P,3.094,P00734
82,3BIU_10U,1C1V_BAB,5.449,P00734
83,3BIU_10U,3C1K_T15,1.631,P00734
84,3BIU_10U,1C1U_BAI,4.5760000000000005,P00734
85,3BIU_10U,1K22_MEL,3.238,P00734
86,3BIU_10U,1ZRB_062,3.8139999999999996,P00734
87,3BIU_10U,3QWC_98P,3.888,P00734
88,3BIU_10U,1MUE_CDD,1.8530000000000002,P00734
89,3BIU_10U,1Z71_L17,2.51,P00734
90,3BIU_10U,4YES_45S,2.66,P00734
91,3BIU_10U,5AF9_SJR,6.046,P00734
92,3BIU_10U,1TA2_176,3.37,P00734
93,3BIU_10U,1KTT_C02,7.513999999999999,P00734
94,3BIU_10U,1KTS_C24,4.21,P00734
95,3BIU_10U,2JH5_895,10.722000000000001,P00734
96,3BIU_10U,3DUX_64U,2.001,P00734
97,3BIU_10U,1W7G_MIU,6.466,P00734
