,template,docked,rmsd,uniprot_id
0,2JH5_895,1ZRB_062,6.813,P00734
1,2JH5_895,3QWC_98P,5.856,P00734
2,2JH5_895,1MUE_CDD,8.229,P00734
3,2JH5_895,4YES_45S,3.128,P00734
4,2JH5_895,1TA2_176,6.1579999999999995,P00734
5,2JH5_895,1WAY_L02,1.149,P00734
6,2JH5_895,4LXB_7R9,7.1160000000000005,P00734
7,2JH5_895,1KTT_C02,5.907,P00734
8,2JH5_895,1KTS_C24,7.462000000000001,P00734
9,2JH5_895,2JH5_895,6.099,P00734
10,2JH5_895,3DUX_64U,2.59,P00734
11,2JH5_895,1W7G_MIU,5.845,P00734
12,2JH5_895,3F68_91U,7.218999999999999,P00734
13,2JH5_895,2ZC9_22U,4.199,P00734
14,2JH5_895,2JH0_701,0.66,P00734
15,2JH5_895,2C8W_C7M,6.471,P00734
16,2JH5_895,1TA6_177,7.175,P00734
17,2JH5_895,1YPG_UIR,3.8280000000000003,P00734
18,2JH5_895,1C5O_BAM,3.2089999999999996,P00734
19,2JH5_895,2ZF0_51U,6.145,P00734
20,2JH5_895,1AE8_AZL,6.805,P00734
21,2JH5_895,2C8Z_C2A,2.593,P00734
22,2JH5_895,1ZGI_382,8.468,P00734
23,2JH5_895,1BCU_PRL,0.794,P00734
24,2JH5_895,6EO9_2OJ,10.720999999999998,P00734
25,2JH5_895,6EO8_2FN,8.361,P00734
26,2JH5_895,1MU8_CDB,6.233,P00734
27,2JH5_895,1BHX_R56,7.457999999999999,P00734
28,2JH5_895,3SI3_B03,6.52,P00734
29,2JH5_895,1D4P_BPP,10.004,P00734
30,2JH5_895,2ZDA_32U,7.64,P00734
31,2JH5_895,4LOY_6XS,6.667999999999999,P00734
32,2JH5_895,1D3P_BT3,10.859000000000002,P00734
33,2JH5_895,3QX5_02P,6.495,P00734
34,2JH5_895,1AFE_ALZ,1.952,P00734
35,2JH5_895,3SHC_B01,6.905,P00734
36,2JH5_895,2ZGB_21U,2.424,P00734
37,2JH5_895,3DHK_23U,6.9639999999999995,P00734
38,2JH5_895,1YPE_UIP,4.037,P00734
39,2JH5_895,1NZQ_162,7.544,P00734
40,2JH5_895,1K21_IGN,7.8839999999999995,P00734
41,2JH5_895,4UD9_FQI,0.738,P00734
42,2JH5_895,1OYT_FSN,7.45,P00734
43,2JH5_895,2ZDV_37U,2.349,P00734
44,2JH5_895,4UDW_N6L,2.4659999999999997,P00734
45,2JH5_895,1GHV_120,8.343,P00734
46,2JH5_895,3SI4_B04,6.053999999999999,P00734
47,2JH5_895,1GHW_BMZ,6.9270000000000005,P00734
48,2JH5_895,1MU6_CDA,4.396,P00734
49,2JH5_895,1RIW_OSC,10.693,P00734
